ID_Transacao,ID_Pedido,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Localidade_Venda,Metodo_Pagamento,Status_Pedido
TRX0000024,PED000012,28-07-2024,CLI00569,Smartphone X200,Eletronicos,2152.68,1,Campinas/SP/Brasil,Pix,Entregue
TRX0000025,PED000013,15/07/2024,CLI00569,Mouse Sem Fio,Acessorios,94.52,1,Campinas/SP/Brasil,Cartao de Credito,Entregue
TRX0000026,PED000014,2024-07-27,,Vestido Midi,Moda,"217,22",3,Rio de Janeiro/RJ/Brasil,Cartao de Debito,PROCESSANDO
TRX0000027,PED000015,2024-07-22,CLI00293,Calca Jeans Reta,Moda,"R$ 189,45",1,Florianopolis/SC/Brasil,Cartao de Credito,Entregue
TRX0000028,PED000016,2024-07-27,CLI00452,Teclado Mecanico,Acessorios,"R$ 364,38",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000029,PED000016,2024-07-27,CLI00452,Notebook Gamer,Eletronicos,"R$ 5.024,93",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000030,PED000016,27/07/2024,CLI00452,Livro Dados em Acao,livros,"R$ 86,25",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000031,PED000017,2024-07-21,CLI00417,Headset Gamer,Acessorios,"257,34",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000032,PED000017,21/07/2024,CLI00417,Mochila para Notebook,Acessorios,"R$ 177,22",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000033,PED000017,2024-07-21,CLI00417,Livro Historia do Brasil,Livros,72.03,-2,Sao Paulo/SP/Brasil,Pix,entregue
TRX0000034,PED000017,21/07/2024,CLI00417,Garrafa Termica,Esporte,"R$ 114,05",2,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000035,PED000018,2024-07-14,CLI00511,Jaqueta Corta Vento,Moda,"R$ 283,36",1,Campinas/SP/Brasil,Pix,Entregue
TRX0000036,PED000019,05/07/2024,CLI00207,Vestido Midi,Moda,"R$ 221,73",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000037,PED000020,2024-07-11,CLI00210,Smart TV 50,Eletronicos,"2.552,48",2,Sao Paulo/SP/Brasil,Cartao de Credito,Entregue
TRX0000038,PED000020,11-07-2024,CLI00210,Livro Historia do Brasil,Livros,"72,58",2,Sao Paulo/SP/Brasil,Cartao de Credito,Entregue
TRX0000039,PED000020,11/07/2024,CLI00210,Capa para Smartphone,Acessorios,47.59,1,Sao Paulo/SP/Brasil,Cartao de Credito,Entregue
TRX0000040,PED000020,11/07/2024,CLI00210,Notebook Gamer,Eletronicos,5046.28,1,Sao Paulo/SP/Brasil,Cartao de Credito,Entregue
TRX0000041,PED000021,2024-07-14,CLI00577,Teclado Mecanico,acessorios,"R$ 339,67",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000042,PED000022,31/07/2024,CLI00200,Carregador Turbo,Acessorios,102.25,1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000043,PED000022,2024-07-31,CLI00200,Tenis Corrida Leve,Esporte,"R$ 319,03",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000044,PED000022,2024-07-31,CLI00200,Halteres 10kg,Esporte,"R$ 195,90",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000045,PED000022,31/07/2024,CLI00200,Luminaria de Mesa,Casa,"R$ 133,84",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000046,PED000023,2024-07-09,CLI00386,Aspirador Robo,Casa,1527.62,1,Sao Paulo/SP/Brasil,Cartao de Debito,Entregue
TRX0000047,PED000024,2024-07-21,CLI00170,Vestido Midi,Moda,"228,17",1,Belo Horizonte/MG/Brasil,Pix,Entregue
TRX0000048,PED000025,04/07/2024,CLI00577,Calca Jeans Reta,Moda,"R$ 183,94",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000049,PED000026,2024-07-09,CLI00202,Tenis Corrida Leve,Esporte,"R$ 314,08",4,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000050,PED000026,2024-07-09,CLI00202,Garrafa Termica,Esporte,"121,06",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000051,PED000026,2024-07-09,CLI00202,Camisa Social Slim,Moda,"R$ 169,43",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000052,PED000027,2024-07-12,CLI00577,Garrafa Termica,ESPORTE,"R$ 125,61",1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Enviado
TRX0000053,PED000028,2024-07-08,CLI00452,Notebook Ultrafino,Eletronicos,"R$ 3.316,53",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000054,PED000028,2024-07-08,CLI00452,Mouse Sem Fio,ACESSORIOS,"86,41",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000055,PED000028,2024-07-08,CLI00452,Teclado Mecanico,Acessorios,"343,70",2,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000056,PED000028,08/07/2024,CLI00452,Mochila para Notebook,Acessorios,184.90,1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000057,PED000029,04/07/2024,CLI00065,Tapete de Yoga,Esporte,143.15,1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000058,PED000029,2024-07-04,CLI00065,Teclado Mecanico,Acessorios,"R$ 332,29",-2,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000059,PED000030,2024-07-20,CLI00486,Camisa Social Slim,Moda,"R$ 168,42",2,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000060,PED000031,16-07-2024,CLI00202,Livro Historia do Brasil,Livros,"R$ 71,93",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000061,PED000032,2024-07-11,CLI00502,Cafeteira Eletrica,Casa,"301,63",2,Belo Horizonte/MG/Brasil,Cartao de Debito,Processando
TRX0000062,PED000033,2024-07-12,CLI00117,Tapete de Yoga,Esporte,"153,62",1,Curitiba/PR/Brasil,Cartao de Credito,Entregue
TRX0000063,PED000034,28-07-2024,CLI00293,Camisa Social Slim,Moda,162.93,1,Florianopolis/SC/Brasil,Pix,Entregue
TRX0000064,PED000034,2024-07-28,CLI00293,Camiseta Dry Fit,Esporte,"78,20",1,Florianopolis/SC/Brasil,Pix,Em analise
TRX0000065,PED000034,2024-07-28,CLI00293,Carregador Turbo,Acessorios,"R$ 101,92",1,Florianopolis/SC/Brasil,Pix,Entregue
TRX0000066,PED000035,2024-07-27,CLI00497,Mochila para Notebook,Acessorios,"R$ 184,07",1,Rio de Janeiro/RJ/Brasil,Boleto,Enviado
TRX0000067,PED000036,2024-07-11,CLI00117,Halteres 10kg,esporte,"183,81",1,Curitiba/PR/Brasil,Pix,Entregue
TRX0000068,PED000037,2024-07-07,CLI00417,Mochila para Notebook,Acessorios,185.62,1,Sao Paulo/SP/Brasil,Cartao de Credito,Entregue
TRX0000069,PED000038,2024-07-17,CLI00140,Cafeteira Eletrica,Casa,2443.40,1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000070,PED000039,15-07-2024,CLI00341,Capa para Smartphone,Acessórios,48.45,1,Sao Paulo/SP/Brasil,Pix,Enviado
TRX0000071,PED000039,15/07/2024,CLI00341,Mouse Sem Fio,Acessorios,"R$ 88,62",-1,Sao Paulo/SP/Brasil,Pix,enviado
TRX0000072,PED000039,15-07-2024,CLI00341,Jogo de Panelas,Casa,428.07,1,Sao Paulo/SP/Brasil,Pix,Enviado
TRX0000073,PED000039,2024-07-15,CLI00341,Camisa Social Slim,Moda,"156,82",1,Sao Paulo/SP/Brasil,Pix,Enviado
TRX0000074,PED000039,15/07/2024,CLI00341,Camiseta Dry Fit,Esporte,"76,56",1,Sao Paulo/SP/Brasil,Pix,Enviado
TRX0000075,PED000040,22/07/2024,CLI00077,,Casa,"R$ 407,54",1,Niteroi/RJ/Brasil,Pix,Entregue
TRX0000076,PED000041,15-07-2024,CLI00066,Tapete de Yoga,Esporte,160.27,1,Curitiba/PR/Brasil,Pix,Entregue
TRX0000077,PED000042,2024-07-09,CLI00511,Cafeteira Eletrica,casa,297.66,1,Campinas/SP/Brasil,Pix,Entregue
TRX0000078,PED000042,09/07/2024,CLI00511,Liquidificador Potente,Casa,215.37,1,Campinas/SP/Brasil,Pix,Entregue
TRX0000079,PED000043,2024-07-03,CLI00262,Livro Dados em Acao,Livros,,1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000080,PED000043,2024-07-03,CLI00262,Liquidificador Potente,casa,"R$ 235,54",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000081,PED000044,19/07/2024,CLI00443,Tablet 10,Eletronicos,"R$ 1.272,16",1,Curitiba/PR/Brasil,Cartao de Debito,Entregue
TRX0000082,PED000044,19/07/2024,CLI00443,Calca Jeans Reta,Moda,"R$ 203,35",2,Curitiba/PR/Brasil,Cartao de Debito,Entregue
TRX0000083,PED000044,,CLI00443,Headset Gamer,Acessorios,277.62,3,Curitiba/PR/Brasil,Cartao de Debito,Entregue
TRX0000084,PED000045,27/07/2024,CLI00497,Capa para Smartphone,Acessorios,53.36,1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000085,PED000046,2024-07-15,CLI00577,Livro Historia do Brasil,Livros,67.57,2,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000086,PED000046,2024-07-15,CLI00577,Notebook Gamer,eletronicos,"R$ 4.779,19",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000087,PED000047,29-07-2024,CLI00096,Garrafa Termica,Esporte,"113,93",1,Campinas/SP/Brasil,Cartao de Credito,Entregue
TRX0000088,PED000048,2024-07-08,CLI00577,Camisa Social Slim,moda,157.80,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000089,PED000048,2024-07-08,CLI00577,Vestido Midi,MODA,220.95,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,ENTREGUE
TRX0000090,PED000049,05/07/2024,CLI00577,Garrafa Termica,Esporte,"120,22",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000091,PED000049,05/07/2024,CLI00577,Livro SQL Essencial,Livros,79.50,2,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000092,PED000050,28/07/2024,CLI00576,Jogo de Panelas,Casa,"385,88",2,Curitiba/PR/Brasil,Cartao de Credito,Entregue
TRX0000093,PED000051,29-07-2024,CLI00115,Hub USB-C,Acessorios,"R$ 131,22",2,Porto Alegre/RS/Brasil,Pix,Entregue
TRX0007154,PED003784,2026-04-13,CLI00026,Vestido Midi,Moda,"R$ 233,78",1,Brasilia/DF/Brasil,Cartao de Credito,Entregue
TRX0000094,PED000051,2024-07-29,CLI00115,Aspirador Robo,Casa,"R$ 1.682,50",2,Porto Alegre/RS/Brasil,Pix,Entregue
TRX0000095,PED000052,19/07/2024,CLI00249,Livro Historia do Brasil,Livros,"R$ 71,01",1,Rio de Janeiro/RJ/Brasil,Pix,ENTREGUE
TRX0000096,PED000053,09-07-2024,CLI00577,Camiseta Dry Fit,Esporte,"76,44",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000097,PED000054,07/07/2024,CLI00346,Notebook Ultrafino,Eletrônicos,"R$ 3.425,45",1,Santos/SP/Brasil,Cartao de Credito,Entregue
TRX0000098,PED000054,2024-07-07,CLI00346,Hub USB-C,Acessorios,123.46,1,Santos/SP/Brasil,Cartao de Credito,Entregue
TRX0000099,PED000055,16/07/2024,CLI00569,Halteres 10kg,Esporte,189.41,1,Campinas/SP/Brasil,Cartao de Credito,Entregue
TRX0000100,PED000056,21/07/2024,CLI00577,Tapete de Yoga,esporte,"R$ 158,09",1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000101,PED000056,2024-07-21,CLI00577,Halteres 10kg,Esporte,"R$ 180,43",1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000102,PED000056,2024-07-21,CLI00577,Cafeteira Eletrica,CASA,304.32,1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000103,PED000056,2024-07-21,CLI00577,Garrafa Termica,Esporte,"R$ 122,03",1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000104,PED000057,2024-07-25,CLI00577,Halteres 10kg,Esporte,"R$ 190,74",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000105,PED000058,24/07/2024,CLI00207,Calca Jeans Reta,Moda,193.86,3,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000106,PED000059,29-07-2024,CLI00117,Luminaria de Mesa,Casa,"148,10",2,Curitiba/PR/Brasil,Cartao de Credito,Entregue
TRX0000107,PED000060,2024-07-13,CLI00486,Vestido Midi,Moda,235.30,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000108,PED000061,2024-07-14,CLI00262,Aspirador Robo,Casa,"R$ 1.704,44",1,Rio de Janeiro/RJ/Brasil,Boleto,ENTREGUE
TRX0000109,PED000061,14/07/2024,CLI00262,Luminaria de Mesa,Casa,134.92,1,Rio de Janeiro/RJ/Brasil,Boleto,ENTREGUE
TRX0000110,PED000062,2024-07-12,CLI00293,Camiseta Dry Fit,Esporte,"R$ 78,33",2,Florianopolis/SC/Brasil,Pix,Entregue
TRX0000111,PED000063,2024-07-29,CLI00001,Jogo de Panelas,Casa,"R$ 396,99",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000112,PED000063,2024-07-29,CLI00001,Tapete de Yoga,Esporte,152.80,1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000113,PED000064,2024-07-12,CLI00502,Jogo de Panelas,Casa,"R$ 410,04",1,Belo Horizonte/MG/Brasil,Cartao de Credito,Entregue
TRX0000114,PED000064,2024-07-12,CLI00502,Cafeteira Eletrica,casa,284.85,2,Belo Horizonte/MG/Brasil,Cartao de Credito,Entregue
TRX0000115,PED000065,2024-07-27,CLI00303,Halteres 10kg,ESPORTE,181.09,1,Goiania/GO/Brasil,Cartao de Credito,DEVOLVIDO
TRX0000116,PED000065,27-07-2024,CLI00303,Livro Historia do Brasil,livros,74.67,2,Goiania/GO/Brasil,Cartao de Credito,Devolvido
TRX0000117,PED000066,16/07/2024,CLI00140,Livro SQL Essencial,Livros,78.28,1,Rio de Janeiro/RJ/Brasil,Boleto,Entregue
TRX0000118,PED000067,2024-07-19,CLI00119,Jaqueta Corta Vento,Moda,266.29,3,Niteroi/RJ/Brasil,Cartao de Debito,Entregue
TRX0000119,PED000067,2024-07-19,CLI00119,Jogo de Panelas,Casa,"R$ 398,27",1,Niteroi/RJ/Brasil,Cartao de Debito,Entregue
TRX0000120,PED000068,2024-07-08,CLI00138,Carregador Turbo,Acessorios,103.67,1,Salvador/BA/Brasil,Boleto,Entregue
TRX0000121,PED000068,2024-07-08,CLI00138,Tablet 10,Eletronicos,"1.294,94",1,Salvador/BA/Brasil,Boleto,Entregue
TRX0000122,PED000069,2024-07-04,CLI00207,Camiseta Dry Fit,Esporte,,1,Recife/PE/Brasil,Cartao de Credito,entregue
TRX0000123,PED000070,29/07/2024,CLI00138,Cafeteira Eletrica,Casa,"R$ 2.362,69",1,Salvador/BA/Brasil,Boleto,Entregue
TRX0000124,PED000071,2024-07-08,CLI00065,Notebook Gamer,ELETRONICOS,"5.181,74",1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000125,PED000071,08/07/2024,CLI00065,Mouse Sem Fio,Acessorios,88.08,1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000126,PED000071,08/07/2024,CLI00065,Mochila para Notebook,Acessorios,178.81,1,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Entregue
TRX0000127,PED000072,2024-07-10,CLI00112,Halteres 10kg,esporte,183.78,1,Fortaleza/CE/Brasil,Pix,Entregue
TRX0000128,PED000073,2024-07-23,CLI00486,Livro SQL Essencial,Livros,"R$ 82,54",1,Rio de Janeiro/RJ/Brasil,Pix,ENTREGUE
TRX0000129,PED000074,19-07-2024,CLI00502,Tapete de Yoga,Esporte,"143,66",3,Belo Horizonte/MG/Brasil,Boleto,Cancelado
TRX0000130,PED000075,2024-07-25,CLI00577,,Livros,"R$ 75,51",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000131,PED000075,2024-07-25,CLI00577,Jaqueta Corta Vento,moda,"284,41",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000132,PED000076,2024-07-04,CLI00065,Smartphone X200,Eletronicos,2094.96,2,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000133,PED000076,2024-07-04,CLI00065,Carregador Turbo,Acessorios,104.66,1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000134,PED000077,2024-07-15,CLI00577,Tapete de Yoga,Esporte,"R$ 143,36",1,Rio de Janeiro/RJ/Brasil,Boleto,Entregue
TRX0000135,PED000077,15-07-2024,CLI00577,Halteres 10kg,Esporte,182.83,1,Rio de Janeiro/RJ/Brasil,Boleto,Entregue
TRX0000136,PED000077,2024-07-15,CLI00577,Tablet 10,Eletronicos,1339.75,1,Rio de Janeiro/RJ/Brasil,Boleto,Entregue
TRX0000137,PED000077,2024-07-15,CLI00577,Garrafa Termica,ESPORTE,"128,35",3,Rio de Janeiro/RJ/Brasil,Boleto,entregue
TRX0000138,PED000078,22-07-2024,CLI00293,Smartphone X200,Eletronicos,"R$ 2.144,06",1,Florianopolis/SC/Brasil,Pix,entregue
TRX0000139,PED000078,2024-07-22,CLI00293,Carregador Turbo,Acessorios,96.95,1,Florianopolis/SC/Brasil,Pix,Entregue
TRX0000140,PED000079,2024-07-13,CLI00181,Garrafa Termica,Esporte,"R$ 114,62",3,Curitiba/PR/Brasil,Cartao de Debito,Entregue
TRX0000141,PED000079,2024-07-13,CLI00181,Vestido Midi,moda,208.95,2,Curitiba/PR/Brasil,Cartao de Debito,Entregue
TRX0000142,PED000080,25/07/2024,CLI00486,Teclado Mecanico,Acessorios,"345,35",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000143,PED000080,2024-07-25,CLI00486,Jogo de Panelas,Casa,388.63,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000144,PED000080,2024-07-25,CLI00486,Livro Historia do Brasil,Livros,70.37,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000145,PED000081,29-07-2024,CLI00497,Halteres 10kg,Esporte,"R$ 181,71",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000146,PED000081,2024-07-29,,Notebook Ultrafino,Eletrônicos,3565.42,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000147,PED000082,26/07/2024,CLI00292,Hub USB-C,Acessorios,"R$ 131,58",1,Uberlandia/MG/Brasil,Pix,Entregue
TRX0000148,PED000082,26/07/2024,CLI00292,Notebook Gamer,Eletronicos,4652.22,2,Uberlandia/MG/Brasil,Pix,Entregue
TRX0000149,PED000083,2024-07-09,CLI00386,Camisa Social Slim,Moda,170.45,1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000150,PED000084,25/07/2024,CLI00120,Liquidificador Potente,casa,"R$ 236,49",1,Belo Horizonte/MG/Brasil,Cartao de Credito,Entregue
TRX0000151,PED000084,25-07-2024,CLI00120,Calca Jeans Reta,Moda,179.66,1,Belo Horizonte/MG/Brasil,Cartao de Credito,Entregue
TRX0000152,PED000085,2024-07-05,CLI00009,Teclado Mecanico,Acessorios,"361,37",1,Goiania/GO/Brasil,Cartao de Credito,Entregue
TRX0000153,PED000085,2024-07-05,CLI00009,Camiseta Dry Fit,Esporte,"R$ 77,07",1,Goiania/GO/Brasil,Cartao de Credito,Entregue
TRX0000154,PED000085,05-07-2024,CLI00009,Livro Dados em Acao,Livros,"R$ 95,52",1,Goiania/GO/Brasil,Cartao de Credito,Entregue
TRX0000155,PED000086,2024-07-02,CLI00102,Hub USB-C,acessorios,129.06,4,Salvador/BA/Brasil,Cartao de Credito,Cancelado
TRX0000156,PED000086,02/07/2024,CLI00102,Teclado Mecanico,Acessorios,"1,2,3",1,Salvador/BA/Brasil,Cartao de Credito,Cancelado
TRX0000157,PED000087,2024-07-18,CLI00269,Halteres 10kg,Esporte,198.73,2,Campinas/SP/Brasil,Boleto,Entregue
TRX0000158,PED000088,2024-07-18,CLI00234,Mochila para Notebook,Acessorios,185.75,2,Florianopolis/SC/Brasil,Pix,Entregue
TRX0000159,PED000089,2024-07-27,CLI00497,Camiseta Dry Fit,ESPORTE,"82,83",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000160,PED000090,2024-07-04,CLI00205,Livro Historia do Brasil,Livros,"74,93",1,Santos/SP/Brasil,Pix,Entregue
TRX0000161,PED000091,01/07/2024,CLI00137,Notebook Gamer,Eletronicos,"R$ 5.008,57",1,Brasilia/DF/Brasil,Pix,Entregue
TRX0000162,PED000091,2024-07-01,CLI00137,Mouse Sem Fio,Acessorios,"R$ 88,43",1,Brasilia/DF/Brasil,Pix,Entregue
TRX0000163,PED000092,2024-07-07,CLI00006,Calca Jeans Reta,Moda,"R$ 185,57",1,Porto Alegre/RS/Brasil,Pix,Entregue
TRX0000164,PED000092,,CLI00006,Monitor 27,Eletronicos,"R$ 1.207,01",1,Porto Alegre/RS/Brasil,Pix,Entregue
TRX0006441,PED003405,2026-02-23,CLI00343,Hub USB-C,Acessorios,"R$ 138,71",2,Salvador/BA/Brasil,Boleto,ENTREGUE
TRX0000165,PED000093,2024-07-31,CLI00205,Camiseta Dry Fit,Esporte,"76,35",1,Santos/SP/Brasil,Cartao de Credito,Entregue
TRX0000166,PED000094,10/07/2024,CLI00577,Mouse Sem Fio,Acessorios,"89,62",2,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000167,PED000094,2024-07-10,CLI00577,Capa para Smartphone,Acessorios,49.50,1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000168,PED000095,2024-07-18,CLI00538,Smart TV 50,Eletronicos,"2.689,68",2,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000169,PED000095,2024-07-18,CLI00538,Monitor 27,eletronicos,"R$ 1.123,88",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000170,PED000095,2024-07-18,CLI00538,Livro Dados em Acao,Livros,"88,47",1,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000171,PED000095,2024-07-18,CLI00538,Hub USB-C,Acessorios,"133,18",2,Sao Paulo/SP/Brasil,Pix,Entregue
TRX0000172,PED000096,19/07/2024,CLI00338,Teclado Mecanico,Acessorios,"R$ 375,10",1,Belo Horizonte/MG/Brasil,Cartao de Debito,Entregue
TRX0000173,PED000097,24/07/2024,CLI00428,Mouse Sem Fio,ACESSORIOS,"R$ 93,38",1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000174,PED000097,24-07-2024,CLI00428,Carregador Turbo,Acessorios,103.73,1,Recife/PE/Brasil,Cartao de Credito,Entregue
TRX0000175,PED000098,18/07/2024,CLI00603,Teclado Mecanico,Acessorios,"346,56",3,Salvador/BA/Brasil,Boleto,entregue
TRX0000176,PED000098,18/07/2024,CLI00603,Monitor 27,Eletronicos,"1.141,80",3,Salvador/BA/Brasil,Boleto,Entregue
TRX0000177,PED000098,18/07/2024,CLI00603,Liquidificador Potente,Casa,"R$ 228,96",2,Salvador/BA/Brasil,Boleto,Entregue
TRX0000178,PED000099,2024-07-18,CLI00038,Smart TV 50,Eletronicos,"2.584,06",1,Campinas/SP/Brasil,Cartao de Credito,Entregue
TRX0000179,PED000100,31-07-2024,CLI00346,Livro Historia do Brasil,Livros,"R$ 68,81",1,Santos/SP/Brasil,Cartao de Debito,Entregue
TRX0000180,PED000101,2024-07-24,CLI00207,Carregador Turbo,Acessorios,"96,68",4,Recife/PE/Brasil,Cartao de Credito,Entregue
